noise_strength,eve_rate,qber_mean
0.0793,0.3600,0.120591
0.0793,0.3750,0.122672
0.0793,0.3900,0.127237
0.0793,0.4050,0.132911
0.0793,0.4200,0.134713
0.0793,0.4350,0.136330
0.0793,0.4500,0.145355
0.0793,0.4650,0.154154
0.0793,0.4800,0.155731
0.0793,0.4950,0.142629
0.0793,0.5100,0.158191
0.0793,0.5250,0.161618
0.0793,0.5400,0.167051
0.0793,0.5550,0.172717
0.0793,0.5700,0.172100
0.0793,0.5850,0.168482
0.0793,0.6000,0.173471
0.0840,0.0000,0.043131
0.0840,0.0150,0.041828
0.0840,0.0300,0.050945
0.0840,0.0450,0.055500
0.0840,0.0600,0.062849
0.0840,0.0750,0.063024
0.0840,0.0900,0.056806
0.0840,0.1050,0.067753
0.0840,0.1200,0.081433
0.0840,0.1350,0.072500
0.0840,0.1500,0.079218
0.0840,0.1650,0.074303
0.0840,0.1800,0.084766
0.0840,0.1950,0.085015
0.0840,0.2100,0.079370
0.0840,0.2250,0.095626
0.0840,0.2400,0.096803
0.0840,0.2550,0.101533
0.0840,0.2700,0.095258
0.0840,0.2850,0.113029
0.0840,0.3000,0.103901
0.0840,0.3150,0.108379
0.0840,0.3300,0.113876
0.0840,0.3450,0.121347
0.0840,0.3600,0.117604
0.0840,0.3750,0.123589
0.0840,0.3900,0.140860
0.0840,0.4050,0.136744
0.0840,0.4200,0.142848
0.0840,0.4350,0.141034
0.0840,0.4500,0.151028
0.0840,0.4650,0.149310
0.0840,0.4800,0.145529
0.0840,0.4950,0.165982
0.0840,0.5100,0.153347
0.0840,0.5250,0.166604
0.0840,0.5400,0.167423
0.0840,0.5550,0.167698
0.0840,0.5700,0.166979
0.0840,0.5850,0.172497
0.0840,0.6000,0.178891
0.0887,0.0000,0.041820
0.0887,0.0150,0.047008
0.0887,0.0300,0.053552
0.0887,0.0450,0.058727
0.0887,0.0600,0.059459
0.0887,0.0750,0.059854
0.0887,0.0900,0.063204
0.0887,0.1050,0.063785
0.0887,0.1200,0.069301
0.0887,0.1350,0.079197
0.0887,0.1500,0.081136
0.0887,0.1650,0.086158
0.0887,0.1800,0.077269
0.0887,0.1950,0.090512
0.0887,0.2100,0.094742
0.0887,0.2250,0.092009
0.0887,0.2400,0.103861
0.0887,0.2550,0.100359
0.0887,0.2700,0.107379
0.0887,0.2850,0.111152
0.0887,0.3000,0.108452
0.0887,0.3150,0.112050
0.0887,0.3300,0.120655
0.0887,0.3450,0.127336
0.0887,0.3600,0.127072
0.0887,0.3750,0.126416
0.0887,0.3900,0.135394
0.0887,0.4050,0.135332
0.0887,0.4200,0.143548
0.0887,0.4350,0.154131
0.0887,0.4500,0.156277
0.0887,0.4650,0.161643
0.0887,0.4800,0.163689
0.0887,0.4950,0.161637
0.0887,0.5100,0.168283
0.0887,0.5250,0.168430
0.0887,0.5400,0.166968
0.0887,0.5550,0.168067
0.0887,0.5700,0.168170
0.0887,0.5850,0.177775
0.0887,0.6000,0.180330
0.0933,0.0000,0.043756
0.0933,0.0150,0.048815
0.0933,0.0300,0.059525
0.0933,0.0450,0.057235
0.0933,0.0600,0.055646
0.0933,0.0750,0.060748
0.0933,0.0900,0.060658
0.0933,0.1050,0.072313
0.0933,0.1200,0.077984
0.0933,0.1350,0.077092
0.0933,0.1500,0.087452
0.0933,0.1650,0.082537
0.0933,0.1800,0.088850
0.0933,0.1950,0.093791
0.0933,0.2100,0.095012
0.0933,0.2250,0.098820
0.0933,0.2400,0.099088
0.0933,0.2550,0.108521
0.0933,0.2700,0.105750
0.0933,0.2850,0.107178
0.0933,0.3000,0.106900
0.0933,0.3150,0.108889
0.0933,0.3300,0.127131
0.0933,0.3450,0.124011
