noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0350,0.2250,0.134671,0.113758,0.253998,0.000000
0.0350,0.2325,0.140052,0.110528,0.257313,0.000000
0.0350,0.2400,0.150387,0.098244,0.244626,0.000000
0.0350,0.2475,0.142629,0.104521,0.245272,0.000000
0.0350,0.2550,0.155534,0.100157,0.258270,0.000000
0.0350,0.2625,0.159415,0.096158,0.250913,0.000000
0.0350,0.2700,0.148959,0.102040,0.247804,0.000000
0.0350,0.2775,0.159140,0.097780,0.258830,0.000000
0.0350,0.2850,0.167790,0.089749,0.245217,0.000000
0.0350,0.2925,0.165512,0.090540,0.235930,0.000000
0.0350,0.3000,0.178116,0.085294,0.244742,0.000000
0.0400,0.0000,0.039036,0.196817,0.138173,0.064634
0.0400,0.0075,0.046868,0.190223,0.161375,0.037340
0.0400,0.0150,0.040197,0.203715,0.142888,0.069160
0.0400,0.0225,0.049661,0.189788,0.165913,0.041325
0.0400,0.0300,0.054810,0.179579,0.173046,0.031395
0.0400,0.0375,0.048070,0.189315,0.163048,0.037934
0.0400,0.0450,0.061531,0.181090,0.194281,0.013057
0.0400,0.0525,0.060147,0.178555,0.187329,0.019717
0.0400,0.0600,0.062691,0.174498,0.188756,0.018480
0.0400,0.0675,0.057824,0.171550,0.173924,0.020368
0.0400,0.0750,0.075993,0.164502,0.212074,0.009154
0.0400,0.0825,0.072245,0.165674,0.207934,0.004835
0.0400,0.0900,0.073963,0.167282,0.209295,0.009328
0.0400,0.0975,0.087004,0.149983,0.219826,0.002745
0.0400,0.1050,0.087571,0.151064,0.225749,0.000000
0.0400,0.1125,0.098823,0.138687,0.228881,0.001459
0.0400,0.1200,0.096299,0.143604,0.226680,0.001877
0.0400,0.1275,0.106482,0.136379,0.240255,0.000327
0.0400,0.1350,0.088556,0.152319,0.234254,0.000000
0.0400,0.1425,0.106362,0.132682,0.238042,0.000000
0.0400,0.1500,0.106090,0.134177,0.239864,0.000000
0.0400,0.1575,0.109736,0.131744,0.243338,0.000000
0.0400,0.1650,0.117675,0.126898,0.252523,0.000000
0.0400,0.1725,0.116835,0.126337,0.247450,0.000000
0.0400,0.1800,0.115756,0.124133,0.236073,0.000137
0.0400,0.1875,0.129090,0.116358,0.252164,0.000000
0.0400,0.1950,0.140838,0.112578,0.252372,0.000000
0.0400,0.2025,0.136464,0.111033,0.254037,0.000000
0.0400,0.2100,0.143281,0.107280,0.255698,0.000000
0.0400,0.2175,0.141904,0.106475,0.246405,0.000000
0.0400,0.2250,0.145212,0.103262,0.249620,0.000000
0.0400,0.2325,0.151332,0.104779,0.259229,0.000000
0.0400,0.2400,0.151223,0.103726,0.257808,0.000000
0.0400,0.2475,0.146701,0.102286,0.243619,0.000000
0.0400,0.2550,0.160073,0.101274,0.263775,0.000000
0.0400,0.2625,0.158746,0.096060,0.245997,0.000000
0.0400,0.2700,0.176681,0.088587,0.246590,0.000000
0.0400,0.2775,0.174267,0.086950,0.243137,0.000000
0.0400,0.2850,0.166223,0.092975,0.253006,0.000000
0.0400,0.2925,0.178626,0.086058,0.247772,0.000000
0.0400,0.3000,0.168246,0.089405,0.239782,0.000000
0.0450,0.0000,0.043168,0.195580,0.151281,0.050753
0.0450,0.0075,0.037674,0.197811,0.135368,0.068086
