noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0700,0.5250,0.159003,0.186434,0.316266,0.000000
0.0700,0.5400,0.162980,0.181575,0.320425,0.000000
0.0700,0.5550,0.170807,0.171638,0.327662,0.000000
0.0700,0.5700,0.175001,0.166071,0.333329,0.000000
0.0700,0.5850,0.175567,0.168279,0.336821,0.000000
0.0700,0.6000,0.171994,0.171701,0.331199,0.000000
0.0800,0.0000,0.038904,0.385019,0.118281,0.266738
0.0800,0.0150,0.046371,0.371265,0.135335,0.235931
0.0800,0.0300,0.046865,0.361426,0.134174,0.227252
0.0800,0.0450,0.050779,0.359433,0.144867,0.214565
0.0800,0.0600,0.051270,0.353173,0.144327,0.208847
0.0800,0.0750,0.054326,0.350587,0.150413,0.200175
0.0800,0.0900,0.065918,0.323928,0.173072,0.150856
0.0800,0.1050,0.065832,0.325884,0.173116,0.152768
0.0800,0.1200,0.061687,0.331403,0.165097,0.166305
0.0800,0.1350,0.069510,0.315583,0.179417,0.136166
0.0800,0.1500,0.074471,0.309147,0.190253,0.118894
0.0800,0.1650,0.080271,0.292403,0.195397,0.099793
0.0800,0.1800,0.083340,0.294365,0.206235,0.088221
0.0800,0.1950,0.089020,0.284322,0.215578,0.070760
0.0800,0.2100,0.083117,0.296749,0.205551,0.092162
0.0800,0.2250,0.095179,0.276140,0.227860,0.054401
0.0800,0.2400,0.095092,0.276537,0.227463,0.055807
0.0800,0.2550,0.097809,0.271092,0.230208,0.048596
0.0800,0.2700,0.099199,0.270996,0.234404,0.045906
0.0800,0.2850,0.098945,0.273179,0.237121,0.038355
0.0800,0.3000,0.111247,0.252120,0.251280,0.036972
0.0800,0.3150,0.112801,0.247477,0.253223,0.019956
0.0800,0.3300,0.115463,0.246407,0.259893,0.019780
0.0800,0.3450,0.123249,0.237074,0.271226,0.015507
0.0800,0.3600,0.123094,0.232511,0.268089,0.009236
0.0800,0.3750,0.118149,0.234050,0.255350,0.012395
0.0800,0.3900,0.128717,0.220714,0.271986,0.003353
0.0800,0.4050,0.139158,0.210598,0.286302,0.007318
0.0800,0.4200,0.129970,0.222268,0.275232,0.012729
0.0800,0.4350,0.129255,0.227311,0.279389,0.010728
0.0800,0.4500,0.144832,0.204977,0.299523,0.000174
0.0800,0.4650,0.145259,0.202656,0.298144,0.000712
0.0800,0.4800,0.149519,0.197973,0.303327,0.004046
0.0800,0.4950,0.149466,0.195365,0.300935,0.000000
0.0800,0.5100,0.158027,0.186391,0.312609,0.000991
0.0800,0.5250,0.167882,0.173844,0.324856,0.000000
0.0800,0.5400,0.168540,0.174113,0.322687,0.000916
0.0800,0.5550,0.164046,0.177353,0.315247,0.000000
0.0800,0.5700,0.164335,0.175579,0.316621,0.000000
0.0800,0.5850,0.172526,0.166595,0.323805,0.000000
0.0800,0.6000,0.178506,0.163671,0.339429,0.000000
